tier,latency_s,cdf
1,9.13,0.2445054945054945
1,9.39,0.24725274725274726
1,9.47,0.25
1,9.51,0.25274725274725274
1,9.58,0.2554945054945055
1,9.71,0.25824175824175827
1,9.76,0.260989010989011
1,10.06,0.26373626373626374
1,10.08,0.2664835164835165
1,10.08,0.2692307692307692
1,10.1,0.27197802197802196
1,10.17,0.27472527472527475
1,10.18,0.2774725274725275
1,10.23,0.2802197802197802
1,10.27,0.28296703296703296
1,10.34,0.2857142857142857
1,10.35,0.28846153846153844
1,10.36,0.29120879120879123
1,10.41,0.29395604395604397
1,10.45,0.2967032967032967
1,10.63,0.29945054945054944
1,10.82,0.3021978021978022
1,10.85,0.30494505494505497
1,10.86,0.3076923076923077
1,10.88,0.31043956043956045
1,10.9,0.3131868131868132
1,11.01,0.3159340659340659
1,11.01,0.31868131868131866
1,11.23,0.32142857142857145
1,11.25,0.3241758241758242
1,11.46,0.3269230769230769
1,11.54,0.32967032967032966
1,11.77,0.3324175824175824
1,11.78,0.33516483516483514
1,11.79,0.33791208791208793
1,11.8,0.34065934065934067
1,11.84,0.3434065934065934
1,11.85,0.34615384615384615
1,11.89,0.3489010989010989
1,12.13,0.3516483516483517
1,12.16,0.3543956043956044
1,12.33,0.35714285714285715
1,12.39,0.3598901098901099
1,12.5,0.3626373626373626
1,12.7,0.36538461538461536
1,12.75,0.36813186813186816
1,12.82,0.3708791208791209
1,12.83,0.37362637362637363
1,13.0,0.37637362637362637
1,13.1,0.3791208791208791
1,13.33,0.38186813186813184
1,13.51,0.38461538461538464
1,13.54,0.3873626373626374
1,13.61,0.3901098901098901
1,13.62,0.39285714285714285
1,13.63,0.3956043956043956
1,14.03,0.3983516483516483
1,14.22,0.4010989010989011
1,14.23,0.40384615384615385
1,14.25,0.4065934065934066
1,14.3,0.40934065934065933
1,14.43,0.41208791208791207
1,14.55,0.41483516483516486
1,14.58,0.4175824175824176
1,14.62,0.42032967032967034
1,14.66,0.4230769230769231
1,14.69,0.4258241758241758
1,14.7,0.42857142857142855
